T,TR,NDVI,LULC,COA,,
0.01710,99,0.70720,4,1.0906,,
0.11346,564,0.88520,4,1.5023,,T - Transmissivity
0.14119,1158,0.58910,4,1.2204,,TR - Transverse resistance
0.09398,567,0.30470,4,1.5249,,NDVI - Normalized difference vegetation index
0.13554,1130,0.69330,4,1.9316,,LULC - Land use land cover
0.06061,469,0.75640,4,1.4602,,COA - Coefficient of anisotropy
0.10408,1398,0.79360,4,1.1095,,
0.04042,338,0.76520,4,1.3726,,
0.04491,497,0.53440,4,1.5219,,
0.03556,140,0.21040,4,1.5702,,
0.01071,70,0.71290,4,1.1389,,
0.03281,104,0.50130,4,1.4940,,
0.01153,80,0.40190,4,1.1356,,
0.02216,131,0.54690,4,1.2608,,
0.04711,97,0.59920,4,1.5722,,
0.03447,143,0.81680,4,1.4622,,
0.03225,144,0.60280,7,1.5347,,
0.00101,6,0.73800,4,1.0166,,
0.01990,139,0.58420,7,1.1954,,
0.02965,287,0.91430,4,1.3035,,
0.07731,522,0.42820,4,1.6648,,
0.09803,324,0.64550,4,1.2366,,
0.04395,231,0.53420,4,1.3469,,
0.12667,626,0.63100,4,1.8607,,
0.12661,444,0.60720,7,1.8554,,
0.03972,192,0.69700,4,1.9901,,
0.03640,177,0.70290,4,1.6269,,
0.00944,54,0.55970,4,1.1317,,
0.08031,537,0.68100,4,1.8509,,
0.06108,465,0.74310,4,1.3700,,
0.12070,811,0.68210,4,1.5651,,
0.00403,24,0.59980,4,1.0228,,
0.08660,591,0.62250,4,1.7549,,
0.10798,625,0.65840,4,1.8029,,
0.06776,400,0.71580,4,1.5447,,
0.04767,204,0.91280,4,1.4001,,
0.04733,203,0.72150,4,1.6574,,
0.07720,430,0.67390,8,1.0772,,
0.01505,91,0.66560,4,1.2032,,
0.01158,104,0.86330,4,1.1207,,
0.15463,829,0.79050,4,1.9915,,
0.04404,262,0.78770,4,1.2259,,
0.13062,790,0.63870,4,1.5212,,
0.05207,274,0.55550,4,1.2816,,
0.05244,492,0.59330,7,1.3910,,
0.03757,640,0.63400,7,1.4780,,
0.09967,1258,0.73960,4,1.1676,,
0.01114,85,0.70690,4,1.1816,,
0.01004,67,0.77320,4,1.1546,,
0.02477,149,0.81420,4,1.3289,,
0.08743,439,0.55570,4,1.0542,,
0.04846,312,0.62640,4,1.0231,,
0.09560,822,0.77280,4,1.9395,,
0.11374,555,0.69300,4,1.9339,,
0.11393,610,0.71230,4,1.6809,,
0.14652,494,0.64550,7,1.7857,,
0.07635,306,0.64190,4,1.4197,,
0.02855,177,0.73690,4,1.1672,,
0.03891,701,0.56300,8,1.3669,,
0.04717,1640,0.35890,7,1.8547,,
0.08319,966,0.57860,7,1.8463,,
0.02683,161,0.75170,4,1.4586,,
0.00998,82,0.88530,4,1.1787,,
0.01554,174,0.71570,4,1.2430,,
0.04357,594,0.68500,4,1.6475,,
0.04650,657,0.52620,4,1.8389,,
0.09312,1281,0.77930,4,1.0797,,
0.08497,1292,0.71900,4,1.9854,,
0.07994,380,0.69970,4,1.8979,,
0.12131,925,0.48330,4,1.9159,,
0.07698,559,0.43880,4,1.6355,,
0.17556,814,0.66520,4,1.9492,,
0.23391,466,0.57220,4,1.9374,,
0.03595,164,0.18330,8,1.1784,,
0.12668,1501,0.35310,7,1.7233,,
0.20344,3093,0.40190,7,1.4955,,
0.10674,648,0.40280,7,1.4785,,
0.23591,533,0.53320,8,1.2707,,
0.05175,600,0.61060,4,1.0365,,
0.02754,316,0.62440,8,1.3408,,
0.02123,2459,0.56240,4,1.0093,,
0.06593,2292,0.69160,4,1.9813,,
0.13325,1867,0.69970,4,1.2504,,
0.04922,986,0.62980,4,1.1776,,
0.01285,284,0.80840,8,1.2118,,
0.02858,198,0.53220,4,1.2770,,
0.00539,43,0.71150,4,1.0536,,
0.07569,670,0.83500,4,1.8589,,
0.24671,825,0.67860,4,1.0277,,
0.15888,762,0.65030,4,1.1550,,
0.16627,711,0.75050,4,1.2605,,
0.06584,228,0.42040,7,1.3544,,
0.00075,7,0.37590,7,1.0054,,
0.07348,463,0.36790,7,1.7928,,
0.25496,478,0.46910,7,1.8585,,
0.17298,1071,0.69780,4,1.9848,,
0.00011,1,0.56410,8,1.0013,,
0.05177,314,0.50640,7,1.4644,,
0.01905,413,0.61240,4,1.2516,,
0.13262,909,0.57650,4,1.2499,,
0.05862,2573,0.57460,8,1.8730,,
0.04126,1650,0.84670,4,1.7666,,
0.00770,231,0.55880,4,1.1482,,
0.01058,443,0.64640,4,1.2613,,
0.00891,371,0.81710,8,1.2184,,
0.11246,674,0.71570,4,1.9380,,
0.05153,629,0.68840,4,1.6458,,
0.02323,234,0.80030,4,1.2699,,
0.09406,363,0.56480,4,1.4720,,
0.13102,701,0.65950,4,1.9997,,
0.11471,747,0.78770,4,1.9607,,
0.17075,624,0.55830,7,1.9696,,
0.06243,210,0.58770,7,1.4738,,
0.07164,877,0.52210,7,1.7237,,
0.08048,520,0.62460,7,1.5326,,
0.14689,874,0.34410,8,1.0156,,
0.10538,659,0.69090,4,1.8778,,
0.08137,317,0.69820,8,1.6851,,
0.02768,1418,0.69580,4,1.4688,,
0.00919,505,0.79610,4,1.1820,,
0.01562,724,0.79690,4,1.4035,,
0.04275,1698,0.57790,8,1.9968,,
0.00638,260,0.76140,8,1.1521,,
0.10795,722,0.53830,4,1.9289,,
0.05338,565,0.67240,4,1.6065,,
0.00924,130,0.66880,4,1.1455,,
0.02500,105,0.69550,4,1.1624,,
0.03770,265,0.77240,4,1.4270,,
0.04626,373,0.29670,4,1.4881,,
0.11348,902,0.67490,7,1.6934,,
0.12432,750,0.56280,7,1.8009,,
0.08886,1333,0.66550,7,1.6457,,
0.09126,976,0.58500,7,1.6591,,
0.08835,391,0.73650,4,1.0916,,
0.05702,308,0.71910,4,1.6600,,
0.03968,194,0.73040,4,1.3570,,
0.00604,292,0.69640,4,1.1202,,
0.02769,1218,0.72850,4,1.6902,,
0.04754,326,0.62110,4,1.4002,,
0.00456,42,0.80250,4,1.0542,,
0.00249,36,0.50510,8,1.0675,,
0.01593,197,0.85430,4,1.2759,,
0.04997,695,0.54400,4,1.4904,,
0.15424,5707,0.54580,8,1.8904,,
0.08860,3235,0.73610,8,1.6006,,
0.02831,403,0.65360,8,1.2061,,
0.10366,1024,0.66580,4,1.8382,,
0.10197,209,0.60750,8,1.0242,,
0.05124,309,0.75010,4,1.8504,,
0.02641,156,0.69770,4,1.3351,,
0.00944,132,0.60840,4,1.2641,,
0.02876,300,0.53670,4,1.5300,,
0.06157,574,0.57710,4,1.6080,,
0.15988,4015,0.54870,4,1.9348,,
0.04770,1689,0.52810,4,1.6337,,
0.04820,381,0.75260,4,1.6269,,
0.10834,854,0.59200,4,1.9933,,
0.09204,247,0.75200,4,1.2857,,
0.03466,358,0.79620,4,1.9176,,
0.00348,30,0.50300,7,1.0668,,
0.05376,453,0.50020,4,1.0577,,
0.11359,566,0.56030,4,1.9841,,
0.18632,744,0.70690,4,1.0281,,
0.05514,451,0.77670,4,1.6450,,
0.08650,390,0.77660,8,1.9019,,
0.11219,672,0.73320,7,1.9822,,
0.04450,329,0.76900,4,1.2544,,
0.09309,601,0.79080,4,1.9022,,
0.06797,372,0.63190,4,1.7461,,
0.14809,670,0.76940,4,1.0968,,
0.18027,573,0.78630,4,1.1325,,
0.08388,406,0.70190,4,1.0296,,
0.04360,283,0.72980,8,1.1739,,
0.12737,731,0.77540,4,1.0693,,
0.19787,897,0.79220,4,1.2125,,
